lon;lat;ele;time
37.239185;-3.162014;1969.4;2020-01-26-11-44-40
37.239183;-3.161984;1969.7;2020-01-26-11-44-43
37.239178;-3.161954;1969.9;2020-01-26-11-44-45
37.239172;-3.161926;1970.2;2020-01-26-11-44-48
37.239165;-3.161898;1970.3;2020-01-26-11-44-51
37.239157;-3.161865;1970.5;2020-01-26-11-44-54
37.239148;-3.16183;1970.6;2020-01-26-11-44-57
37.239142;-3.16179;1970.8;2020-01-26-11-45-00
37.23914;-3.161754;1971;2020-01-26-11-45-02
37.239138;-3.161721;1971.2;2020-01-26-11-45-05
37.239136;-3.161682;1971.4;2020-01-26-11-45-07
37.239135;-3.161651;1971.6;2020-01-26-11-45-10
37.239132;-3.161614;1971.8;2020-01-26-11-45-13
37.23913;-3.161577;1971.9;2020-01-26-11-45-16
37.239129;-3.161545;1972;2020-01-26-11-45-18
37.239127;-3.161507;1972;2020-01-26-11-45-21
37.239129;-3.16147;1972.1;2020-01-26-11-45-24
37.239131;-3.161443;1972;2020-01-26-11-45-26
37.239134;-3.161416;1972;2020-01-26-11-45-28
37.239139;-3.161388;1972;2020-01-26-11-45-31
37.239144;-3.161352;1972;2020-01-26-11-45-35
37.23915;-3.161313;1972;2020-01-26-11-45-40
37.239155;-3.161278;1972.1;2020-01-26-11-45-44
37.239156;-3.16125;1972.1;2020-01-26-11-45-47
37.239159;-3.161214;1972.2;2020-01-26-11-45-51
37.239163;-3.161187;1972.3;2020-01-26-11-45-54
37.23917;-3.161152;1972.5;2020-01-26-11-45-58
37.239178;-3.161124;1972.6;2020-01-26-11-46-01
37.239182;-3.161093;1972.9;2020-01-26-11-46-04
37.239184;-3.161064;1973.2;2020-01-26-11-46-06
37.239187;-3.161018;1973.8;2020-01-26-11-46-11
37.239193;-3.160982;1974.4;2020-01-26-11-46-13
37.239199;-3.160949;1974.9;2020-01-26-11-46-16
37.239209;-3.16091;1975.7;2020-01-26-11-46-19
37.239218;-3.160871;1976.5;2020-01-26-11-46-22
37.239223;-3.160836;1977.3;2020-01-26-11-46-25
37.239227;-3.160805;1978;2020-01-26-11-46-28
37.239231;-3.16077;1978.8;2020-01-26-11-46-31
37.239227;-3.160734;1979.6;2020-01-26-11-46-35
37.239223;-3.160695;1980.6;2020-01-26-11-46-39
37.239222;-3.16066;1981.4;2020-01-26-11-46-42
37.239223;-3.16063;1982.1;2020-01-26-11-46-45
37.239227;-3.160602;1982.7;2020-01-26-11-46-47
37.239234;-3.160572;1983.4;2020-01-26-11-46-50
37.239243;-3.160546;1984;2020-01-26-11-46-53
37.239252;-3.160507;1985;2020-01-26-11-46-58
37.239259;-3.16047;1985.9;2020-01-26-11-47-02
37.239267;-3.160429;1986.8;2020-01-26-11-47-06
37.239273;-3.1604;1987.1;2020-01-26-11-47-08
37.239278;-3.160364;1987.5;2020-01-26-11-47-12
37.239277;-3.160336;1987.6;2020-01-26-11-47-14
37.239279;-3.160298;1987.8;2020-01-26-11-47-18
37.239287;-3.160261;1987.9;2020-01-26-11-47-21
37.239295;-3.160225;1987.9;2020-01-26-11-47-24
37.239301;-3.160194;1988;2020-01-26-11-47-26
37.239309;-3.160158;1988.1;2020-01-26-11-47-29
37.239319;-3.160121;1988.1;2020-01-26-11-47-32
37.239326;-3.16009;1988.1;2020-01-26-11-47-35
37.239329;-3.160057;1988.2;2020-01-26-11-47-38
37.239334;-3.160021;1988.2;2020-01-26-11-47-41
37.239343;-3.159985;1988.3;2020-01-26-11-47-44
37.239351;-3.159954;1988.3;2020-01-26-11-47-47
37.239359;-3.159921;1988.4;2020-01-26-11-47-50
37.239364;-3.159895;1988.4;2020-01-26-11-47-52
37.239374;-3.159851;1988.3;2020-01-26-11-47-57
37.239382;-3.159812;1988.2;2020-01-26-11-48-01
37.239391;-3.159778;1988;2020-01-26-11-48-04
37.239399;-3.159751;1987.8;2020-01-26-11-48-07
37.239405;-3.159721;1987.6;2020-01-26-11-48-10
37.239403;-3.159677;1987.4;2020-01-26-11-48-15
37.239399;-3.159645;1987.2;2020-01-26-11-48-18
37.239396;-3.159615;1987.1;2020-01-26-11-48-21
37.239395;-3.159585;1987;2020-01-26-11-48-24
37.239394;-3.159554;1986.9;2020-01-26-11-48-27
37.239399;-3.159506;1987.1;2020-01-26-11-48-31
37.239407;-3.15947;1987.2;2020-01-26-11-48-33
37.23942;-3.159423;1987.5;2020-01-26-11-48-38
37.23943;-3.159389;1987.7;2020-01-26-11-48-40
37.239441;-3.159352;1987.9;2020-01-26-11-48-43
37.239449;-3.159316;1988.1;2020-01-26-11-48-46
37.239457;-3.159286;1988.2;2020-01-26-11-48-49
37.239466;-3.159256;1988.4;2020-01-26-11-48-52
37.239474;-3.159228;1988.6;2020-01-26-11-48-55
37.239482;-3.159201;1988.9;2020-01-26-11-48-57
37.239491;-3.159175;1989;2020-01-26-11-49-00
37.239505;-3.159141;1989.1;2020-01-26-11-49-03
37.239517;-3.159107;1989.2;2020-01-26-11-49-06
37.239529;-3.159072;1989.1;2020-01-26-11-49-09
37.239539;-3.159043;1989.1;2020-01-26-11-49-12
37.239551;-3.159004;1989.1;2020-01-26-11-49-16
37.239561;-3.158972;1989.1;2020-01-26-11-49-19
37.23957;-3.158944;1989.3;2020-01-26-11-49-22
37.239579;-3.158905;1989.6;2020-01-26-11-49-25
